Applicant Details,,"Eligibility Criteria
Decision Box – Eligibility
application_373_bundle.zip,Application 373,2842,Migori,Other,Mpesa statement,706584752,Fail,Out of scope value chain because they mainly deal with metal fabrication.,5,"Legally registered for 3 years with functional governance (Chairperson, Secretary, Treasure,CEO roles defined).",2,"Turn over of 200000-420000, sporadic records,meets minimal financial evidence but small- scale turn over.",4,"Regular local sales, digital sales channels (jumia,kilimall),multi products with repeat clients ",5,"Clear problem- solution stated,smart targets for revenue,youth employment, products output, training, clients satisfaction, investment plan and risk mitigation outlined ",0,Deals with metal construction which is out of value chain priority .,4,"3/8 employee youth,7/8 members aged below 35 green practices such as local materials, recycling, energy saving welding,controlled brick burning,water, management,tree planting.",,Tier 1,100,40,80,100,0,80,10,8,16,25,0,8,67,0,67,191,
application_374_bundle.zip,Application 374,PVT-DLULYEQL,Taita Taveta,Construction,Income statements,796002933,Pass,All documents processed,4,"Formal structure and functioning governance, though younger than some peers.",3,"Growth trajectory is strong, but scale is still modest compared to larger firms.",4,"Well-positioned niche, but still early-stage compared to large manufacturers.",4,Realistic objectives but relies heavily on external support and financing.,4,Strong alignment and unique positioning within the chain.,5,Excellent inclusivity and sustainability credentials.,,Tier 2,80,60,80,80,80,100,8,12,16,20,12,10,78,0,78,102,Laureen
application_375_bundle.zip,Application 375,CS/29311,Wajir,Dairy,Mpesa statement,725782339,Fail,Mpesa statement cannot be accessed,4,Registered <3 yrs with documented leadership.,0,No financial evidence.,0,No market evidence.,4,Strong plan with minor gaps.,0,Not a priority VC.,5,>50% of women with more than 2 green practices.,,,80,0,0,80,0,100,8,0,0,20,0,10,38,0,38,467,
application_376_bundle.zip,Application 376,CS/29901,Kisii,Other,Cash based books,717889676,Fail,Out of scope value chain beacuse it mainly deals with avocado farming,3,Legally registered and operational but still at startup stage with limited history and governance maturity.,1,"Thin financial evidence, minimal/irregular transactions",3,Market demand exists (avocado export potential) but weak market linkages and dependency on one buyer,4,"Well-thought plan with feasible interventions, though implementation capacity may be limited due to small membership and lack of experience.",0,Out of scope value chain beacuse it mainly deals with avocado farming,3,"Moderate gender inclusion and strong sustainability practices, but very low youth participation.",,Tier 1,60,20,60,80,0,60,6,4,12,20,0,6,48,0,48,386,
application_377_bundle.zip,Application 377,PVT-KAUZJRAP,Uasin Gishu,Edible Oils,"Bank statements, mpesa statements and statements of cash flows",790384503,Pass,All documemts processed,4,"Properly registered, with 2 years of financial activity, showing early but real growth.",4,"Positive financial growth and good margins, but still small scale.",5,"Ambitious, realistic objectives and strong differentiation from competitors.",4,"Clear investment plan, though still scaling and semi-manual systems.",5,"Clear value addition, strong farmer linkages, and diversified sales channels.",4,"Positive financial growth and good margins, but still small scale.",,Tier 2,80,80,100,80,100,80,8,16,20,20,15,8,87,0,87,41,Laureen
application_378_bundle.zip,Application 378,CS/28860 dated 17th July 2023,Kakamega,Other,Bank statement and balanced sheet,722717273,Fail,Out of scope value chain because they deal with avocado farming,4,registred >1yr <3yrs,0,no financial evidence,0,no market evidence,1,no plans but aspirational,0,not priority VC,2,low inclusion,P1,,80,0,0,20,0,40,8,0,0,5,0,4,17,5,12,517,
application_379_bundle.zip,Application 379,Community Based Organization,Siaya,Textile,Balanced sheet and statement of cash flows,704529508,Pass,All documents processed,4,"Properly registered, consistent growth, but still small-scale.",4,"Profits growing, good margins, but absolute volumes are small.",5,"Well-defined objectives, competitive edge through training + production.",5,Challenges clearly articulated with practical BDS needs.,4,"Clear participation across value chain, diverse revenue streams, but still low scale.",5,Strong sustainability integration with practical and future initiatives.,,Tier 1,80,80,100,100,80,100,8,16,20,25,12,10,91,0,91,24,Laureen
application_380_bundle.zip,Application 380,ASS5A9AA9A,Samburu,Construction,Cash based books,711385495,Fail,Incorrect cash based books,4,Registered 1–3 yrs; documented leadership; meeting cadence,0,No financial record to determine turnover,3,Consistent monthly orders; growing local channels,3,Clear problem–solution; quantified targets;,3,Priority VC; fills critical node in construction; documented upstream & downstream linkages.,3,50% youth participation + 2+ green practices adopted.,P1,Tier 1,80,0,60,60,60,60,8,0,12,15,9,6,50,5,45,414,
application_381_bundle.zip,Application 381,BTR/DSS/SHG/8853/2012,Kakamega,Dairy,Mpesa statement,707961166,Fail,Invalid mpesa statements,5,registered>3yrs,2,Turnover<1M,1,sporadic sales,3,clear directions,2,peripheral role,5,>50% women and more than 2 green practices,,,100,40,20,60,40,100,10,8,4,15,6,10,53,0,53,332,
application_382_bundle.zip,Application 382,DSS/WG/381/2004,Kakamega,Dairy,Bank statements,711876046,Fail,Invalid  bank statements,5,registered>3yrs,1,thin evidence,0,no market evidence,3,targets generic,1,marginal link,5,>50% women and more than 2 green practices,P1,,100,20,0,60,20,100,10,4,0,15,3,10,42,5,37,474,
application_383_bundle.zip,Application 383,BTR/DSS/YG/5484/2022,Kakamega,Dairy,Bank statement ,740399562,Pass,All documents processed ,4,"Properly registered and active since 2022, but limited operating history reduces track record strength.",5,"Strong profit margins, consistent growth, and formal accounting demonstrate excellent sustainability.",3,Basic current operations; innovation remains at planning stage.,4,"Sustainability practices are present, but risk management measures are not fully developed.",4,"Solid engagement in dairy value chain, but limited to local markets without wider distribution.",4,"Membership growth and strong youth representation are positive, but employment growth is stagnant.",,Tier 1,80,100,60,80,80,80,8,20,12,20,12,8,80,0,80,87,Laureen
application_384_bundle.zip,Application 384,CS/27531,Wajir,Textile,Bank statement,720019324,Fail,Invalid bank statement,4,Registered <3 yrs with documented leadership.,1,Thin evidence.,2,Weak market links.,5,Clear problem and solutions.,4,Clear node with some linkages.,5,>50% of women with more than 2 green practices.,,,80,20,40,100,80,100,8,4,8,25,12,10,67,0,67,191,
application_385_bundle.zip,Application 385,PVT-JZUGJ5AQ,Bungoma,Construction,Balanced sheet,717213083,Fail,Invalid balance sheet,4,Registered for 3 years with documented leadership,5,Turnover is around 17 million with a positive trend. Balance proof provided,4,"Repeat customers, growing channels and us e of digital marketing",3,Generic targets,3,Weak linkages in value chain,5,Above 50% youth participation with more than two sustainable practices and more than 30% women leadership,,,80,100,80,60,60,100,8,20,16,15,9,10,78,0,78,102,
application_386_bundle.zip,Applicant 386,32394,Marsabit,Other,No financial evidence,722418105,Fail,"Out of scoop in value chain,No financial evidence",4,Legally registered and operating for 2 years ,0,No verifiable financial statement ,3,Regular local sales to schools/hospitals and community ,3,"Detailed and realistic plan to expand production capacity, adopt modern equipment, and access supermarket distribution. Quantified investment plans in extraction, grinding, and soap-making machinery show strong vision",0,Engages in bee keeping and honey harvesting ,2,"25& women,58& youth no green practices ",,Tier 2,80,0,60,60,0,40,8,0,12,15,0,4,39,0,39,460,
application_387_bundle (1).zip,Applicant 387, ASS RA-KOTKDR,Tharaka Nithi,Construction,ledger book,72677487,Pass,The owner provided financial values for only 2 months of 2025,3,"governance exists and consistent membership growth is documented, even though formal cooperative structure is limited.",1,"Operations are small-scale, informal, and self-reported — thus thin financial evidence and low credibility of figures.",3,Regular local sales; one channel; emerging quality practices,3,Direction clear; targets generic; budget rough,5,"Fully aligned to the Construction Value Chain,",4,Strong gender/youth participation; 1–2 green practices,,Tier 2,60,20,60,60,100,80,6,4,12,15,15,8,60,0,60,266,Nzilani
application_388_bundle.zip,Applicant 388,BN-7ZCL6BX,Kiambu,Dairy,Bank statement,719429862,Pass,Meets all criteria,5,Rejestered more than 3 years,1,less than 5M,4,"Consistent sales, multi-channel, good differentiation",5,"Clear plan, targets, budget, risks, and partnerships",5,fills a critical node,3,Moderate inclusion,P1,Tier 2,100,20,80,100,100,60,10,4,16,25,15,6,76,5,71,153,Nzilani
application_389_bundle.zip,Applicant 389, PVT-27ULQYM3,Nakuru,Dairy,Bank statement,721463265,Pass,Meets all criteria,3,Rejestered less than a year,1,less than 5M,5,,4,: Strong plan with minor gaps,4, clear node participation,4,"Youth participation,green practices",,Tier 2,60,20,100,80,80,80,6,4,20,20,12,8,70,0,70,166,Nzilani
application_390_bundle (1).zip,Applicant 390, PVT-7LU5LRYB,Uasin Gishu,Dairy,Bank statement,724541388,Pass,Meets all criteria,4,Rejestered for 2 years,4,less than 10M,3,Regular local sales,2,Unclear resoucing,4,clear node participation,1,Low inclusion,,Tier 2,80,80,60,40,80,20,8,16,12,10,12,2,60,0,60,266,Nzilani
application_391_bundle.zip,Applicant 391, CS/30494,Busia,Edible Oils,Bank statement,726410740,Pass,Meets all criteria,3,Regestered for 1 year,2,turn over less than 1M,3,Regular local sales,4,Strong plan with minor gaps,4, clear node participation,5,Includes all the 3 factors,,Tier 1,60,40,60,80,80,100,6,8,12,20,12,10,68,0,68,185,Nzilani
application_392_bundle.zip,Applicant 392,10349,Kakamega,Construction,No evidence,713175151,Fail,No financial evidence,4,registered for 2 years,0,no evidence,0,no market evidence,3,generic targets ,1,marginal link,4,no inclusion but 3 green practices ,P1,,80,0,0,60,20,80,8,0,0,15,3,8,34,5,29,494,
application_393_bundle.zip,Applicant 393, CS/9261,Kisii,Other,Bank statement,726377258,Fail,Out of scoop in value chain,5,"Registered ≥3 years with functioning governance, structured leadership, and clear recordkeeping.",1,Thin financial evidence; statements provided are for 2023-24 rather than the last 12 months,4,"Consistent orders, existing buyers, and plans to diversify market; currently single channel but steady.",5,"Comprehensive and quantified plan with execution roadmap, risks, and resource clarity",5,Out of scoop in value chain,5,≥50% women participation and 2+ strong green practices adopted.,,Tier 1,100,20,80,100,100,100,10,4,16,25,15,10,80,0,80,87,
