,,"Eligibility Criteria
Decision Box – Eligibility
If any E1–E5 fails → mark INELIGIBLE; exclude from scoring.
If all pass → proceed to Primary Criteria scoring.",,,,,,,"Scoring Rubrics (0–5 anchors per criterion)
Choose the best-fit level per criterion.
Evidence Box – Financial
Accept: bank/M-Pesa PDFs, screenshots (machine-readable if possible), Excel exports, signed income summaries, simple stock/COGS ledgers.",,,,,,,,,,,, Disqualifiers & Penalties,TIERS,NORMALIZED SCORE,,,,,,WEIGHTED SCORING,,,,,,,COMPOSITE SCORE,,RANK,
application_KJET-20251231213659-UNCF_with_attachments_2026-01-13_17-54-03,Applicant_KJET-20251231213659-UNCF,PVT-7LUX2GQ6,KAJIADO,Blue Economy,Aggregate fish and selling at restaurants ,No financial evidence ,Yes ,some requirements met,3,Registered in 2025,0,No financial evidence ,4,has 2 channels including digital marketplace ,2,"Vague plan, few detailed targets no costed budget",3,"Priority VC, weak linkages",4,">50% female inclusivity, moderate youth inclusion, ",P1,,60,0,80,40,60,80,6,0,16,10,9,8,49,5,44,#REF!,
application_KJET-20251231221901-VJSI_with_attachments_2026-01-13_17-54-01,Applicant_KJET-20251231221901-VJSI,,KAJIADO,Leather,Leather processing and value addition ,Yes (balance sheet and Mpesa statement),Yes,All requirements met,3," Registered in 2019, no proper leadership structure",3,"Turnover 1-5M, full statement attached ",5,Has multiple channels including digital marketplaces,4,"Strong plan, minor gaps no costed budget",5,"Priority VC; clear node participation and value addition, documented linkages",4,"High Inclusivity, female owned moderate youth inclusion several green practices",,,60,60,100,80,100,80,6,12,20,20,15,8,81,0,81,#REF!,
application_KJET-20251231231037-H32C_with_attachments_2026-01-13_17-53-58,Applicant_KJET-20251231231037-H32C,CGK/DSS/1294/2020,KAJIADO,OTHER,Beekeeping and primary honey processing ,No financial evidence attached ,Yes,some requirements met ,5,registered in 2020,0,No financial evidence  attached ,3,"has 2 channels, no digital marketplace ",3,"clear direction, generic targets no costed budget ",2,"Not a Priority VC, aggregation and processing participation, documented linkages ",5,"50% female and youth inclusivity, several green practices ",P1,,100,0,60,60,40,100,10,0,12,15,6,10,53,5,48,#REF!,
application_KJET-20260101125632-GHSK_with_attachments_2026-01-13_17-53-56,Applicant_KJET-20260101125632-GHSK,CPR/2011/42638,KAJIADO,Minerals,Gypsum and limestone processing ,Yes(income statements),Yes,All requirements met ,5,Registered in 2011,5,"Turnover >10M positive trend, supported by income statement ",3,has 2 channels no digital marketplace ,3,"Clear direction, no defined targets or costed budget ",5,"Priority VC, value addition, documented linkages ",4,">50%female inclusion, moderate youth inclusivity several green practices ",,,100,100,60,60,100,80,10,20,12,15,15,8,80,0,80,#REF!,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAKAMEGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
application_KJET-20251212122746-OBXD_with_attachments_2026-01-13_18-19-05,Applicant_KJET-20251212122746-OBXD,BTR/DSS/SHG/8853/2012,KAKAMEGA,Dairy,,no( thin mpesa statement attached),yes(contact number and email given),"The Agri- Group deals with Dairy farming ,they have an m-pesa statement as their financial evidence and also filled the form.",5,"Regestered since 2012(14 years in operations) and have a clear leadersp structure(chairperson
secretary,treasurer)
",1,The mpesa statement given has only values for 2 days ,3,"Sales are only to regular local buyers ,they differentiate themselves through ""chemical-free"" fresh milk and price competitiveness against packet milk. however, they lack formal offtake contracts or digital channels.",2,"The problem(local breed, low yield) is well defined however the solution(buying exotic cows for all 35 members) lacks a detailed budget .Targets are available but not fully SMART",2,Currently limited to basic production (milking 4 cows).  (mostly direct farm-to-consumer sales),5,100% women-operated. Significant youth representation (12 members). They practice sustainable  (tree planting),,,100,20,60,40,40,100,10,4,12,10,6,10,52,0,52,18,
application_KJET-20251212150038-00AH_with_attachments_2026-01-13_18-19-03,Applicant_KJET-20251212150038-00AH,BTR/DSS/WG/4143/2011,KAKAMEGA,Dairy,,no(thin bank statement attached),yes- official contact number and email given,"Registered MSME Association since 2011,ventured in dairy value chain which is a priority sector.",5,"Established in 2011 (15 years operational). with a Clear leadership structure (Chair, Secretary, Treasurer) provided.",1,The transactions shown in the bank statement are not clear for the whole year and are also irregular.,3,"Consistent local sales . They have identified a clear competitive advantage (price and freshness) against ""Packet Milk"" distributors. However, they lack formal contracts or digital channels",3,"Problem-solution clarity is good (manual vs. digital/milking machines). They have an ambitious growth plan (value addition: yogurt, cheese, butter) and a specific target for online marketing but It lacks detailed budget realism.",3,"Currently at the production level but moving toward processing (yogurt/cheese), which aligns well with the Priority Value Chain  goals.",5,100% women-owned. High participation of youth (10 members in 18–35 bracket). Committed to green practices through tree planting,,,100,20,60,60,60,100,10,4,12,15,9,10,60,0,60,11,
application_KJET-20251213113040-1QH8_with_attachments_2026-01-13_18-19-01,Applicant_KJET-20251213113040-1QH8,BTR/DSS/SHG/9593/2015,KAKAMEGA,Dairy,,yes(Bank Statements attached),yes- contact number given,Registered MSME Association since 2015 dealing with dairy farming which is a priority value chain.,5,Established in 2015 (11 years operational). Demonstrated stability and functioning governance with clear leadership roles defined,2,"2025 Turnover is KES 83,350. While there is a positive growth trend through out the year, the total revenue remains well under the KES 1M anchor for a score of 3",3,"Regular local  sales. They have a clear competitive strategy (low price, fresh, chemical-free). However, they lack formal offtake agreements or digital marketplace presence.",2,"The proposal identifies clear needs (exotic breeds, mechanization). However, it relies heavily on ""if you give us funds"" statements rather than a detailed strategic plan. The mention of using ""Kilimall"" (primarily a general merchandise e-commerce site) for fresh milk indicates a lack of technical market research for dairy logistics.",2,"Currently focused on primary production (milking). While they express a desire for value addition, they are not yet aggregating or processing at a cluster level.",3,Not a women-owned enterprise (100% women criteria not met). Youth participation is low and stagnant (only 3 members out of 31 are aged 18–35). They receive points for sustainable tree-planting initiatives to protect water sources,,,100,40,60,40,40,60,10,8,12,10,6,6,52,0,52,18,
application_KJET-20251215103036-XL1H_with_attachments_2026-01-13_18-18-59,Applicant_KJET-20251215103036-XL1H,PVT-EYU3VAEJ,KAKAMEGA,Edible Oils,,no(vague Balance sheet given),yes- contact number given,Registered Private Limited Company since 2019 dealing with edible oils with its a priority sector.,5,"Operating since 2019 (6 years), featuring a highly structured governance team including a CEO, Director, and Manager",1,Although the balance sheet shows  an increasing income of between 1M-10M we can not tell if it is genuine or forged.,3,"100% B2B model focusing on retailers and institutions. They have a good understanding of their competitive landscape (imports vs. local) and a clear ""Circular Economy"" value proposition (oil + animal feed) but do not have any knowledge of online sells",4,"Very high clarity. They define a ""Full Value Chain"" approach—from training 792 farmers to processing. SMART targets are present (contracting 1,500+ farmers). The only gap is the lack of a formalized accounting system",5,"This is an application for value chain alignment. They handle input supply, farmer training, aggregation, processing (refining), and byproduct utilization (animal feeds).This is an  application for value chain alignment. They handle input supply, farmer training, aggregation, processing (refining), and byproduct utilization (animal feeds).",5,"100% women-owned and managed. 100% of the 792 members are youth (aged 18–35). Advanced green practices: Rhizobium inoculants, nitrogen fixation, and waste-to-feed circularity",,,100,20,60,80,100,100,10,4,12,20,15,10,71,0,71,4,
application_KJET-20251216123050-673K_with_attachments_2026-01-13_18-18-57,Applicant_KJET-20251216123050-673K,DSD/37/207/01/158662,KAKAMEGA,Dairy,,yes(supporting bank statement given),yes- contaact number and official email given,"Registered MSME Association since 2025 according to the certificate,dealing with dairy farming which is a priority VC and also have attached a verified bank statement hence meeting all criteria. ",4,"Established in 2025 (1 years operational according to the regestered certificate). Clear leadership structure and governance (Chair, Secretary, Treasurer) provided",2,"Turnover is KES 70,355. While showing a steady upward trend (40,610k-70,355), it remains well below the KES 1M threshold for a score of 3",3,"Regular local  sales. They leverage a competitive chemical-free and price-based strategy. However, there is no evidence of formal offtake contracts or B2B channels.",3,"The proposal is comprehensive, covering land acquisition, infrastructure (boreholes), and value addition (yogurt/cheese). They use QuickBooks, indicating better systems than most small groups, though the ""if we get funds"" phrasing is still dominant.",3,"They have a clear roadmap for moving from production to aggregation and processing (value addition). Currently at production level but with 15+ cows, they have better aggregation potential than smaller groups.",5,Good gender mix (43% female) and rising youth participation (8 members). Strong sustainability marks for planting drought-resistant fodder crops and tree planting.,,,80,40,60,60,60,100,8,8,12,15,9,10,62,0,62,8,
application_KJET-20251216141141-JDED_with_attachments_2026-01-13_18-18-50,Applicant_KJET-20251216141141-JDED,DSD/37/208/01/121820,KAKAMEGA,Dairy,,yes-supporting bank statement given,yes-contact number given and an official email address also present.,Registered MSME Association sice 2025 dealing with dairy farming and has an attached bank statement.,4,"Established in 2025 (1 years operational according to the regestered certificate). Clear leadership structure and governance (Chair, Secretary, Treasurer) provided",2,"While the bank statement shows an upward trend from 8,146 to 28,221 still this values  are way too low than the 1M stated.",3,"Strong local presence with a unique credit for friendly customers model. They provide fresh, chemical-free milk. However, sales are strictly direct to final consumers without formal offtake contracts.",2,"Problem statement is clear regarding livestock disease and manual labor. However, the growth strategy is too general. It lacks a concrete technical roadmap for the transition to value addition",2,"Primarily focused on primary production. The ""house-to-house"" operation model suggests a lack of centralized aggregation or processing facilities currently.",4,"Very high youth inclusion (26 out of 36 members are aged 18–35). Weakness: 0% female participation (100% male), . Sustainability points given for tree planting",,,80,40,60,40,40,80,8,8,12,10,6,8,52,0,52,18,
application_KJET-20251216152756-SX6G_with_attachments_2026-01-13_18-18-49,Applicant_KJET-20251216152756-SX6G,DSD/37/208/01/97654,KAKAMEGA,Dairy,,yes-supporting bank statement given,yes-contact number given and an official email address also present.,Registered MSME Association  sice 2025 dealing with dairy farming and has an attached bank statemen,4,"


Established in 2025 (1 years operational according to the regestered certificate). Clear leadership structure and governance (Chair, Secretary, Treasurer) provided",3,"2025 Turn Over is 104,030 with a very strong stable positive growth ",3,"Consistent localsales at Khumailo Shopping Center. They use a ""negotiable price"" strategy to maintain local loyalty. However, they lack formal offtake agreements or digital presence",3,"The proposal identifies a unique operational problem: Theft and Farmers sleeping with cows. The solution to centralize security and housing is clear and feasible. They use QuickBooks, which is a significant administrative advantage for a group this size.",2,"Currently limited to primary production and basic local sale. The plan for ""Value Addition"" is mentioned but not yet operational.",4,High youth participation (27 out of 37 members are aged 18–35). Weakness: 0% female participation (100% male). Sustainability marks given for annual tree planting.,,,80,60,60,60,40,80,8,12,12,15,6,8,61,0,61,9,
application_KJET-20251216174159-VAE9_with_attachments_2026-01-13_18-18-47,Applicant_KJET-20251216174159-VAE9,BTR/DSS/CBO/0147/2022,KAKAMEGA,Dairy,,yes-supporting bank statement given,yes-contact number given and an official email address also present.,"Registered CBO since 2022, dealing with dairy farming with a proven bank statement as their financial evidence",5,Registered for 3+ years (since early 2022). Governance structure is clearly documented with key leadership positions filled,2,"Turn over is KSH13,531 ,While the growth trend is positive (doubling since 2022), the absolute volume is extremely low for a group of 38 members",3,"steady  local sales. They correctly identify their competitive edge as ""chemical-free"" and ""cheaper"" compared to commercial brands like Tuzo. However, they lack formal contracts and digital channels",3,"Clear problem-solution identification. They pinpoint the ""Low Supply, High Demand"" issue caused by local breeds. Their plan for value addition (yogurt) and delivery services is standard but feasible. They use QuickBooks, which is highly commendable for an entity of this size.",2,Focused almost entirely on primary production (milking). They currently lack the infrastructure for aggregation or processing,4,Nearly 50% female (18/38) and a very high youth density (22/38 aged 18-35). Points given for tree planting.,,,100,40,60,60,40,80,10,8,12,15,6,8,59,0,59,12,
application_KJET-20251217170902-6XKV_with_attachments_2026-01-13_18-18-45,Applicant_KJET-20251217170902-6XKV,"DSD/37/207/02/69710
",KAKAMEGA,Dairy,,yes-supporting bank statement given,yes-contact number given and an official email address also present.,"Registered MSME Association since 2011,ventured in dairy value chain which is a priority sector.",5,"Established in 2011 (15 years operational). This is the most established group analyzed to date, demonstrating exceptional long-term resilience and governance stability.",2,"2025 Turn over is 46,183 while showing a positive growth from 35,333 in 2023 the absolute volume is low for a group of 33 members. ",3,"Strategic location at Butere Lower Market (Modern Market Square) ensures high foot traffic for direct local sales. They leverage the ""chemical-free"" and ""cheap"" niche. However, they lack institutional B2B contracts",3,"The proposal to provide every member with a cow through table banking is a high-impact social goal. They use QuickBooks, indicating administrative discipline. However, the growth plan for value addition is generic and lacks a technical timeline.",2,"Currently focused on primary production. The ""boiling milk"" preservation method is primitive and limits their ability to move up the value chain without industrial cooling.",4,"67% Women members and 2 women in leadership; meets ""Women-Owned"" enterprise criteria.  0% Youth participation (no members under 35). Sustainability marks given for tree planting",,,100,40,60,60,40,80,10,8,12,15,6,8,59,0,59,12,
